EZON México. Smart Lock Finder - Catálogo de Modelos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDENTIFICACIÓN DEL PRODUCTO,,,,,,P1 · MATERIAL DE LA PUERTA,,,P2 · TIPO DE PUERTA,,,,,P3 · GROSOR DE PUERTA,,P4 · UBICACIÓN,,,,,,,P5 · MÉTODOS DE ACCESO,,,,,,P6 · FUNCIONES ESPECIALES  (condicional),,,,,,,P7 · TIPO DE CERRADURA  (condicional),,,
Marca,Nombre,URL Shopify,URL img,Precio Full,Precio con descuento,Madera,Metal,Vidrio,Abatible — 1 hoja,Abatible — 2 hojas,Corrediza — 1 hoja,Corrediza — 2 hojas,Reja,Grosor mín (cm),Grosor máx (cm),Interior — Puerta principal,Interior — Recámara / cuarto,Interior — Closet / bodega,Interior — Oficina / negocio,Exterior — Con techo,Exterior — Sin techo / expuesto,Exterior — Reja,Huella dactilar,Reconocimiento facial,Código PIN,App celular,Tarjeta / RFID,Llave mecánica respaldo,Bloqueo automático,Modo niño,Cámara / videoportero,Códigos temporales (Airbnb),Apertura remota,Google Home / Alexa,Administración Airbnb,Cerradura con manija,Push-pull,Cerrojo / Deadbolt,Candado
Excel,Cerradura Inteligente de Perfil Angosto EXC-SL275,https://ezonmexico.com/products/cerradura-inteligente-perfil-angosto-excel-sl275,https://ezonmexico.com/cdn/shop/files/BasicasGrisesEXC-SL275-01.jpg,"$6,959.00","$3,480.00",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3.5 cm,6 cm,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Excel,Cerradura Inteligente con Huella EXC-SH100,https://ezonmexico.com/products/cerradura-inteligente-huella-excel-sh100,https://ezonmexico.com/cdn/shop/files/BasicasGrisesEXC-SH100-02.jpg,"$1,899.00","$1,709.10",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3.5 cm,5 cm,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Excel,Cerradura Inteligente Con Huella Digital EXC-SK110,https://ezonmexico.com/products/cerradura-inteligente-huella-excel-sk110,https://ezonmexico.com/cdn/shop/files/BasicasGrisesPulido_K10-0102.jpg,"$1,599.00","$1,439.10",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3.5 cm,5 cm,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Excel,Cerradura Inteligente WiFi EXC-SL214,https://ezonmexico.com/products/cerradura-inteligente-wifi-excel-sl214,https://ezonmexico.com/cdn/shop/files/BasicasGrisesEZON5.0_SL214-01.jpg,"$4,590.00","$2,295.00",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3.5 cm,6.5 cm,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Excel,Cerradura Inteligente WiFi EXC-SL215,https://ezonmexico.com/products/cerradura-inteligente-wifi-excel-sl215,https://ezonmexico.com/cdn/shop/files/BasicasGrisesEZON5.0_SL215-01.jpg,"$5,140.00","$4,112.00",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3.5 cm,6.5 cm,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Excel,Cerradura Inteligente WiFi Excel EXC-SL235,https://ezonmexico.com/products/cerradura-inteligente-huella-excel-sl235,https://ezonmexico.com/cdn/shop/files/BasicasGrisesEXC-SL235-01.jpg,"$6,299.00","$3,464.45",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3.8 cm,10 cm,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Excel,Cerradura Inteligente Con Huella EXC-SL500 WiFi,https://ezonmexico.com/products/cerradura-inteligente-wifi-excel-sl500,https://ezonmexico.com/cdn/shop/files/BasicasGrisesExcel_SL500-01_0c3bc8db-d7a7-43ca-bd50-0519a3d3fa7b.jpg,"$8,956.20","$8,956.20",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4 cm,6 cm,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Excel,Cerradura Inteligente Con Huella Digital EXC-SL520 WiFi,https://ezonmexico.com/products/cerradura-inteligente-excel-sl520-wifi,https://ezonmexico.com/cdn/shop/files/BasicasGrisesExcel_SL520-01_b6b1c133-1f9d-45e6-a01f-89b0d2309d10.jpg,"$9,475.00","$5,212.00",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4 cm,6 cm,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Moorgen,Cerradura Inteligente Moorgen T12S,https://ezonmexico.com/products/cerradura-inteligente-moorgen-t12s,https://ezonmexico.com/cdn/shop/files/BasicasMoorgen_T12-01.jpg,"$6,716.00","$6,044.40",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4 cm,12 cm,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Moorgen,Cerradura Inteligente Moorgen T16+,https://ezonmexico.com/products/cerradura-inteligente-moorgen-t16,https://ezonmexico.com/cdn/shop/files/BasicasMoorgen_T16-01.jpg,"$20,480.00","$8,192.00",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4 cm,12 cm,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
